method,File,term,tuned,median/iqr (k),median/iqr (a),median/iqr (b)
gibbs,pitsA,1,1.00,18.30 / 11.00,0.55 / 0.55,0.47 / 0.33
gibbs,pitsA,2,1.00,20.20 / 6.70,0.46 / 0.24,0.70 / 0.42
gibbs,pitsA,3,1.00,20.00 / 5.25,0.37 / 0.40,0.34 / 0.49
gibbs,pitsA,4,1.00,22.30 / 11.00,0.45 / 0.33,0.77 / 0.49
gibbs,pitsA,5,0.89,15.50 / 3.22,0.42 / 0.13,0.59 / 0.31
gibbs,pitsA,6,0.67,13.00 / 13.25,0.34 / 0.25,0.41 / 0.38
gibbs,pitsA,7,0.56,28.00 / 1.00,0.57 / 0.43,0.58 / 0.16
gibbs,pitsA,8,0.44,21.00 / 0.00,0.48 / 0.00,0.93 / 0.00
gibbs,pitsA,9,0.33,30.00 / 0.00,0.42 / 0.00,0.41 / 0.00
gibbs,pitsB,1,1.00,18.55 / 11.50,0.52 / 0.55,0.50 / 0.52
gibbs,pitsB,2,1.00,16.00 / 14.25,0.74 / 0.45,0.80 / 0.32
gibbs,pitsB,3,1.00,23.30 / 9.70,0.56 / 0.49,0.50 / 0.62
gibbs,pitsB,4,1.00,20.00 / 6.00,0.55 / 0.24,0.68 / 0.47
gibbs,pitsB,5,0.89,16.00 / 0.00,0.35 / 0.09,0.52 / 0.54
gibbs,pitsB,6,0.67,10.00 / 0.00,0.71 / 0.00,0.68 / 0.00
gibbs,pitsB,7,0.56,24.00 / 9.00,0.34 / 0.41,0.73 / 0.16
gibbs,pitsB,8,0.67,22.00 / 0.00,0.43 / 0.00,0.28 / 0.00
gibbs,pitsB,9,0.56,13.85 / 3.15,0.66 / 0.24,0.14 / 0.04
gibbs,pitsC,1,1.00,18.20 / 11.00,0.55 / 0.55,0.50 / 0.35
gibbs,pitsC,2,1.00,21.00 / 12.58,0.68 / 0.32,0.79 / 0.53
gibbs,pitsC,3,1.00,16.10 / 11.70,0.32 / 0.45,0.29 / 0.22
gibbs,pitsC,4,1.00,18.00 / 13.00,0.44 / 0.32,0.52 / 0.20
gibbs,pitsC,5,1.00,19.00 / 10.50,0.51 / 0.78,0.61 / 0.43
gibbs,pitsC,6,1.00,17.00 / 6.52,0.42 / 0.12,0.44 / 0.16
gibbs,pitsC,7,1.00,20.00 / 11.20,0.12 / 0.10,0.55 / 0.04
gibbs,pitsC,8,1.00,10.65 / 0.35,0.32 / 0.06,0.89 / 0.11
gibbs,pitsC,9,0.67,12.50 / 0.50,0.74 / 0.13,0.76 / 0.15
gibbs,pitsD,1,1.00,16.45 / 11.65,0.49 / 0.54,0.50 / 0.53
gibbs,pitsD,2,1.00,23.00 / 9.40,0.60 / 0.38,0.63 / 0.45
gibbs,pitsD,3,1.00,22.00 / 11.00,0.82 / 0.61,0.65 / 0.63
gibbs,pitsD,4,1.00,20.00 / 17.00,0.54 / 0.63,0.56 / 0.52
gibbs,pitsD,5,1.00,18.00 / 11.23,0.23 / 0.07,0.45 / 0.58
gibbs,pitsD,6,0.89,19.00 / 2.43,0.27 / 0.23,0.67 / 0.09
gibbs,pitsD,7,0.78,16.00 / 0.00,0.18 / 0.00,0.62 / 0.00
gibbs,pitsD,8,0.78,16.00 / 0.00,0.50 / 0.00,0.80 / 0.00
gibbs,pitsD,9,0.44,13.00 / 0.00,0.43 / 0.00,0.49 / 0.00
gibbs,pitsE,1,1.00,17.70 / 9.50,0.59 / 0.37,0.49 / 0.35
gibbs,pitsE,2,1.00,24.00 / 9.00,0.71 / 0.31,0.55 / 0.43
gibbs,pitsE,3,1.00,24.00 / 8.05,0.46 / 0.24,0.62 / 0.20
gibbs,pitsE,4,1.00,13.30 / 8.00,0.22 / 0.17,0.43 / 0.42
gibbs,pitsE,5,0.89,24.00 / 1.25,0.19 / 0.07,0.80 / 0.12
gibbs,pitsE,6,0.67,17.00 / 4.66,0.23 / 0.09,0.24 / 0.04
gibbs,pitsE,7,0.56,18.00 / 2.00,0.70 / 0.42,0.28 / 0.71
gibbs,pitsE,8,0.78,16.00 / 0.30,0.29 / 0.12,0.44 / 0.15
gibbs,pitsE,9,0.78,14.60 / 0.00,0.87 / 0.00,0.30 / 0.00
gibbs,pitsF,1,1.00,17.70 / 9.50,0.59 / 0.37,0.49 / 0.35
gibbs,pitsF,2,1.00,24.00 / 9.00,0.71 / 0.31,0.55 / 0.43
